PlantID	Rank	PlantNum	Treatment	SampleID	Truss	DevStage	FruitAge	HarvestDate	HarvestHour	FruitPosition	FruitDiameter	FruitHeight	FruitFW	DW	AliquotID	PGM	F16BP_Cyt	PyrK	CitS	PPI	AcoS	PFK	FruS	F16BP_Stroma	GluS	ISODH_NAD	EnoS	ISODH_NADP	PEPC	FBPA	SucCoALig	MALDH	AlaS	FumS	AspS	GLUDH_NADP	GAPDH_NAD	GAPDH_NADP	GLUDH_NAD	TPI	PhoS	NI	AciS	G6PDH	UGPS	SucS	MAL_NAD	ShiS	MAL_NADP	PGI_tot	SolStarchS	AGPS	SucPhosphateS	PoolID	glucose	saccharose	fructose	galactose	mannose	rhamnose	acetate	chlorogenate	citrate	fumarate	galacturonate	malate	quinate	alanine	asparagine	aspartate	GABA	glutamine	glutamate	isoleucine	phenylalanine	tryptophane	tyrosine	valine	pyroglutamate	trigonelline	choline	inositol
F39	F	453	WaterStress	380	T6	FR.04	55DPA	40423	0.5	2	50.83	47.77	71.71		1073	722.14	14.21	343.97	11.41	299.17	116.88	47.49	38.82	39.63	16.76	218.34	270.88	24.14	157.87	2022.54	248.15	6207.3	2618.9	88.31	2227.01	5.45	2143.45	951.65	28.95	19881.05	6084.86	183.09	595.0576132	146.93	2906.47	239.91	434.08	84.41	43.85	380.82	56.92	190.77	53.57	F49	1005.549285	46.59589784	1205.696842	4.53399936	3.950477572	6.890523553	3.24420862	0.90604099	204.1285058	0.019092818	2.625386426	102.6501792	0.372452446	3.673342429	10.84885039	27.77735104	26.72523369	102.249925	89.55728178	2.579927336	6.036849074	0.635022161	1.193425091	1.067214127	22.63118805	0.842315611	7.844255261	43.53238553
F40	F	454	WaterStress	32	T6	FF.01	08DPA	40381	0.494444444	5			0.62		111	8054.61	33.14	2128.92	64.59	3128.5	1830.77	270.3	1008.07	778.47	1271.77	965.12	530.51	68.32	994.7	9430.7	1226.97	76092.52	2301.48	1520.38	6708.8	13.29	6202.69	2761.2	277.91	201373.96	24173.5	97.43	373.5502117	314.96	4145.41	340.84	1785	401.61	326.73	1270.49	139.49	1189.08	96.79	F28	326.41201	49.07254082	329.5159323	0	3.532284888	6.952849126	8.896553595	12.15641455	176.5726008	0.103417089	0	158.6491109	7.278276083	2.123447227	2.567395499	10.10942272	6.267679462	20.78208256	11.52812565	0.957174221	1.611286407	0	0.556590267	1.157801695	13.44044717	2.353682351	8.494459903	65.48351763
F40	F	454	WaterStress	155	T7	FF.03	21DPA	40407	0.520833333	2	41.48	33.28	29.64		475	3064.04	12.94	597.69	99.81	1366.2	478.02	124.49	281.32	295.8	306.9	181.1	510.18	171.34	1250.27	6294.38	739.15	38886.71	2860.4	402.52	11937.99	7.24	6407.84	2071.63	54.07	162316.78	15698.82	158.4	1003.122136	115.53	3498.93	590.53	1455.27	3.55	382.44	938.15	160.18	677.27	NA	F32	668.7983483	41.89005591	742.3387879	0	3.460571044	5.211391033	3.322220073	3.396400835	87.5852769	0.110244419	0	102.2685758	2.943486611	3.135527544	1.596173096	3.854339256	8.276930269	9.83023451	17.22104613	2.286855137	4.258518429	0	0.668396899	2.278299109	6.558837087	1.011322498	3.846790144	43.56631496
F40	F	454	WaterStress	163	T5	FF.04	35DPA	40409	0.541666667	7	50.6	44.45	59.91		491	2299.36	11.12	321.67	39.69	1140.98	266.6	73.48	110.17	107.29	47.33	149.09	461.55	98.29	645.75	3482.55	289.63	17209.42	2215.91	417.32	4393.36	8.99	2552.66	563.99	57.8	73244.34	7348.95	53.07	609.3135225	137.92	3216.27	610.07	1891.6	64.04	183.34	331.46	77.62	114.43	113.45	F40	706.2826912	26.79831236	909.2711288	0	2.922090435	5.442421063	4.118692895	2.12078099	99.43579799	0.167727352	0	130.336186	0.187096259	3.965945584	7.492443072	10.14830511	25.42076246	36.58022042	17.79481824	4.570468033	6.376808475	0	2.116115075	3.388763757	23.53953935	0.927289141	6.049644831	60.2663343
F40	F	454	WaterStress	362	T6	FR.03	50DPA	40423	0.527777778	4	53.16	49.93	81.3		1037	979.36	17.99	328	NA	524.05	164.24	74.15	27.34	45.99	6.16	280.28	307.52	NA	249.73	4061.53	199.57	9955.05	2694.7	NA	NA	1.55	1983.54	552.23	55.73	18072.43	5004.76	102.89	2635.743905	196.17	3402.69	397.93	NA	137.65	86.17	426.3	27.94	393.3	146.12	F46	951.328424	42.19681296	1172.930233	3.405133972	3.945890337	5.775174449	3.817454897	1.285336695	187.6466332	0.032293041	1.455765367	143.8945973	0.622427646	2.38338194	14.13748658	26.86079171	26.74084794	103.3884477	83.00870365	2.541204456	6.06077754	0.519144397	1.377427116	0.969773521	23.04249665	0.985735861	7.953965583	47.27867101
F40	F	454	WaterStress	380	T6	FR.04	55DPA	40423	0.5	2	47.45	41.76	53.52		1073	722.14	14.21	343.97	11.41	299.17	116.88	47.49	38.82	39.63	16.76	218.34	270.88	24.14	157.87	2022.54	248.15	6207.3	2618.9	88.31	2227.01	5.45	2143.45	951.65	28.95	19881.05	6084.86	183.09	595.0576132	146.93	2906.47	239.91	434.08	84.41	43.85	380.82	56.92	190.77	53.57	F49	1005.549285	46.59589784	1205.696842	4.53399936	3.950477572	6.890523553	3.24420862	0.90604099	204.1285058	0.019092818	2.625386426	102.6501792	0.372452446	3.673342429	10.84885039	27.77735104	26.72523369	102.249925	89.55728178	2.579927336	6.036849074	0.635022161	1.193425091	1.067214127	22.63118805	0.842315611	7.844255261	43.53238553
F40	F	454	WaterStress	384	T7	FF.04	34DPA	40428	0.65625	4	53.26	45.3	71.0		1081	1912.03	10	352.71	51.31	828.31	168.56	68.03	121.64	104.95	99.27	98.09	410.85	80.84	428.81	1962.34	NA	20481.18	1388.82	262.06	NA	4.57	1691.67	160.35	119.99	69922.96	5720.43	47.54	380.1770194	110.23	3268.76	51.56	994.96	131.05	164.48	458.82	39.91	375.46	NA	F39	842.9905593	29.22859254	993.1715683	0	3.804410274	6.223858429	4.035700886	2.003226201	95.15438244	0.15614645	0	167.569543	0.277292905	2.299082633	3.687125605	6.793306647	17.24830355	19.75620757	19.47832261	3.64603015	5.38411745	0	1.40873178	2.186134593	22.36017168	1.107312236	5.239243728	66.05760275
F40	F	454	WaterStress	416	T7	FR.02	47DPA	40435	0.5	1	67.1	48.4	118.8		1145	1397.1	8.53	190.96	12.22	456.63	107.52	64.98	NA	48.51	59.08	212.62	254.59	14.78	407.22	2689.28	143.24	15053.43	2055.2	231.48	1984.96	9.91	1268.06	512.2	13.03	38291.73	4618.31	22.47	1693.700269	NA	3355.6	3130.57	NA	58.55	61.82	456.89	118.97	81.94	143.22	F45	947.3729899	35.12866493	1154.033825	2.32782991	3.821196296	4.053057103	3.422742916	1.531383038	174.2163541	0.063348579	0.360561082	188.9580442	0.297604653	1.975156943	9.490489268	16.83246368	21.86615168	57.25685145	43.46178506	2.24415888	4.314034647	0.289450424	0.993546092	0.987620203	19.96682106	1.075924283	6.410809416	44.10797475
F41	F	455	WaterStress	137	T7	FF.02	15DPA	40400	0.5	3	31.46	26.66	13.72		439	3638.41	19.49	686.24	26.77	1416.35	423.43	126.32	360.3	239.28	277.23	181.81	546.06	81.91	672.65	2022.67	434.89	33442.78	1435.02	144.37	5058.58	3.43	3796.66	2018.2	61.97	115729.73	11341.49	49.07	817.9402334	325.57	3479.75	687.77	1696.81	185.52	242.88	992.97	139.36	669.76	414.96	F31	573.7490558	53.1446302	621.0197595	0	3.959937195	5.752571776	4.097766677	5.732650777	98.88209636	0.089899896	0	104.8273655	3.808353697	5.031669956	1.623072001	2.288311725	8.097886402	13.72788183	12.04965216	2.641831045	2.974042296	0	0.517435199	2.312112959	11.62492495	1.169720242	4.066693322	39.95425482
F41	F	455	WaterStress	163	T5	FF.04	35DPA	40409	0.541666667	6	50.48	40.96	59.59		491	2299.36	11.12	321.67	39.69	1140.98	266.6	73.48	110.17	107.29	47.33	149.09	461.55	98.29	645.75	3482.55	289.63	17209.42	2215.91	417.32	4393.36	8.99	2552.66	563.99	57.8	73244.34	7348.95	53.07	609.3135225	137.92	3216.27	610.07	1891.6	64.04	183.34	331.46	77.62	114.43	113.45	F40	706.2826912	26.79831236	909.2711288	0	2.922090435	5.442421063	4.118692895	2.12078099	99.43579799	0.167727352	0	130.336186	0.187096259	3.965945584	7.492443072	10.14830511	25.42076246	36.58022042	17.79481824	4.570468033	6.376808475	0	2.116115075	3.388763757	23.53953935	0.927289141	6.049644831	60.2663343
